# Time-averaged data for fix avs
# TimeStep v_cell1 v_cell2 v_cell3 v_alpha v_beta v_gamma v_ptot v_vtot v_pxxi v_pyyi v_pzzi v_pxyi v_pxzi v_pyzi
25500 41.7858 41.8328 41.8133 89.9499 90.0295 89.9528 9921.6 73090 10423.5 10099.8 9241.42 -148.794 -145.901 -71.5482
26000 41.7684 41.7976 41.7664 90.0443 90.0356 89.9836 9899.07 72916.1 9657.93 9944.3 10095 205.382 -156.154 80.2904
26500 41.8284 41.7714 41.7462 90.0292 89.9542 90.0761 10307.6 72939.7 10565.5 9993.95 10363.3 -20.5448 306.6 212.661
27000 41.7981 41.785 41.835 89.9034 90.0212 89.9448 9790.71 73065.8 10018.3 9939.07 9414.77 -6.46481 -230.313 -220.874
27500 41.7614 41.7951 41.7563 90.0843 90.0176 89.961 10298.2 72881.6 9876.91 9946.04 11071.8 279.948 177.782 67.0784
28000 41.7744 41.8396 41.771 89.9852 90.0041 90.0659 9641.86 73007.3 10040.1 9543.59 9341.88 -38.1426 305.155 54.137
28500 41.8121 41.754 41.8241 89.9179 89.9992 89.9602 10301.1 73017.1 10228.2 10337.3 10337.8 183.009 -317.803 -266.118
29000 41.787 41.7746 41.7863 90.0756 90.0722 89.9692 9759.95 72943.5 9339.41 9929.47 10011 -25.214 411.104 332.548
29500 41.7647 41.8237 41.7901 89.9882 89.9091 90.0092 10209.4 72996.3 10478.7 10081.1 10068.4 -155.624 -278.024 -74.0356
30000 41.8031 41.8064 41.7846 89.9588 90.0427 89.9494 10069.6 73024 9520.8 10400.1 10288 156.066 -107.441 -196.348
30500 41.8284 41.7586 41.7659 90.0921 90.0848 89.9705 9761.61 72951.8 9684.75 9907.82 9692.27 -326.012 266.361 223.494
31000 41.7596 41.7359 41.8434 89.9933 89.9273 90.0473 10413.6 72927.5 10812.2 10442.2 9986.39 167.35 -326.527 -213.4
31500 41.8207 41.8734 41.745 89.967 90.0833 89.9408 9649.68 73102.4 9232.99 9688.95 10027.1 -132.722 227.537 -18.7346
32000 41.762 41.7688 41.7676 90.0652 90.0436 89.9596 10356.9 72857 10837.2 10059.8 10173.6 -342.89 110.148 36.996
32500 41.817 41.776 41.7943 89.9596 89.9369 90.0075 9813.6 73012.1 9542.85 9789.99 10108 245.942 -125.915 -275.399
33000 41.792 41.8151 41.7984 89.9844 90.0568 89.9776 10030.7 73044 10267.5 9965.16 9859.27 -229.469 142.117 -5.83074
33500 41.7477 41.7878 41.7739 90.0633 90.0676 89.962 10101 72876.1 10447.4 10010.5 9845.08 -86.0947 10.1749 62.8327
34000 41.8024 41.8182 41.7801 89.9825 89.8789 90.0926 9850.38 73035.3 9830.73 9580.08 10140.3 515.064 -102.904 63.7208
34500 41.8017 41.7484 41.8166 90.0109 90.0673 89.8898 9941.55 72976 10204.5 10037.2 9582.95 -244.6 115.112 118.206
35000 41.7352 41.8085 41.7801 90.0048 90.0805 89.9776 10221.1 72901.2 10257.6 10078.3 10327.6 -15.7727 -32.8385 -100.977
35500 41.8082 41.8404 41.746 90.0031 89.8656 90.0556 9813.14 73024.3 9795.88 9622.4 10021.2 306.077 -29.362 237.649
36000 41.7727 41.779 41.7945 89.9894 90.0935 89.9288 10067.8 72940.4 10047.3 10484.2 9672 -253.624 48.464 -211.585
36500 41.7947 41.7548 41.7838 89.9437 90.0643 90.0023 10014.8 72917.9 9933.22 10086.4 10024.6 -103.669 109.054 27.2889
37000 41.796 41.7815 41.8041 90.04 89.8887 89.9736 9858.69 73002.1 9358.26 10222.8 9995.04 38.2141 -124.247 59.769
37500 41.7775 41.8348 41.7613 90.0073 90.1749 89.9933 9970.74 72987.7 10023.1 10079.9 9809.29 -198.334 193.615 -221.306
38000 41.8141 41.7404 41.7688 89.942 90.0091 90.0534 10021.9 72900.2 9639.99 10190.9 10234.8 270.76 -66.3403 211.208
38500 41.7488 41.8099 41.8165 90.1029 89.8467 89.9593 10160.6 72990.4 10177 10286 10018.8 -206.587 -116.162 109.691
39000 41.7947 41.8018 41.7872 89.959 90.1575 90.0153 9650.48 73005.4 9487.05 9424.37 10040 115.27 179.164 -169.649
39500 41.7693 41.7564 41.7739 89.9675 89.9864 90.039 10097.7 72859 10169.9 10000.3 10122.8 248.657 -120.24 112.102
40000 41.7892 41.8426 41.7743 90.0292 89.9326 89.9618 9883.95 73045 10128.9 9663.76 9859.18 -43.5815 134.244 -124.389
40500 41.8146 41.7445 41.7971 89.9836 90.1066 90.0132 10102.2 72957.6 10099 9978.71 10228.9 220.608 89.3925 -79.442
41000 41.718 41.8039 41.7898 89.9378 90.0413 89.9715 10061 72880.1 10381.1 10006.8 9795.05 -134.194 -93.5261 -105.721
41500 41.8333 41.8044 41.7688 90.078 89.9085 89.9903 10003.4 73045.1 9836.62 9881.04 10292.4 -185.586 -108.793 108.27
42000 41.7948 41.7348 41.8006 89.9202 90.1261 89.9789 10037.1 72911.6 10228.3 10137 9746.01 153.218 -131.56 -67.5367
42500 41.7317 41.8172 41.7834 89.9804 90.0112 89.9891 9962.61 72915.6 9947.17 9984.84 9955.8 -59.3841 -63.2706 -39.3153
